sig_empty,constraints_defect,truncated,very_short,any_defect,task_id
True,False,False,False,True,HumanEval/0
True,False,False,False,True,HumanEval/2
True,False,False,False,True,HumanEval/4
True,False,False,False,True,HumanEval/10
True,False,False,False,True,HumanEval/11
True,False,False,False,True,HumanEval/13
True,False,False,False,True,HumanEval/17
True,False,False,False,True,HumanEval/20
True,False,False,False,True,HumanEval/21
True,False,False,False,True,HumanEval/25
True,False,False,False,True,HumanEval/36
True,False,False,False,True,HumanEval/39
True,False,False,False,True,HumanEval/40
True,False,False,False,True,HumanEval/44
True,False,False,False,True,HumanEval/45
True,False,False,False,True,HumanEval/47
True,False,False,False,True,HumanEval/52
True,False,False,False,True,HumanEval/53
True,False,False,False,True,HumanEval/55
True,False,False,False,True,HumanEval/57
True,False,False,False,True,HumanEval/58
True,False,False,False,True,HumanEval/60
True,False,False,False,True,HumanEval/63
True,False,False,False,True,HumanEval/67
True,False,False,False,True,HumanEval/69
True,False,False,False,True,HumanEval/71
True,False,False,False,True,HumanEval/72
True,False,False,False,True,HumanEval/73
True,False,False,False,True,HumanEval/76
True,False,False,False,True,HumanEval/77
True,False,False,False,True,HumanEval/81
True,False,False,False,True,HumanEval/82
True,False,False,False,True,HumanEval/84
True,False,False,False,True,HumanEval/85
True,False,False,False,True,HumanEval/88
True,False,False,False,True,HumanEval/89
True,False,False,False,True,HumanEval/92
True,False,False,False,True,HumanEval/94
True,False,False,False,True,HumanEval/96
True,False,False,False,True,HumanEval/97
True,False,False,False,True,HumanEval/98
True,False,False,False,True,HumanEval/99
True,False,False,False,True,HumanEval/100
True,False,False,False,True,HumanEval/102
True,False,False,False,True,HumanEval/103
True,False,False,False,True,HumanEval/106
True,False,False,False,True,HumanEval/107
True,False,False,False,True,HumanEval/109
True,False,False,False,True,HumanEval/110
True,False,False,False,True,HumanEval/116
True,False,False,False,True,HumanEval/119
True,False,False,False,True,HumanEval/121
True,False,False,False,True,HumanEval/122
True,False,False,False,True,HumanEval/125
True,False,False,False,True,HumanEval/129
True,False,False,False,True,HumanEval/131
True,False,False,False,True,HumanEval/133
True,False,False,False,True,HumanEval/135
True,False,False,False,True,HumanEval/137
True,False,False,False,True,HumanEval/138
True,False,False,False,True,HumanEval/139
True,False,False,False,True,HumanEval/143
True,False,False,False,True,HumanEval/147
True,False,False,False,True,HumanEval/148
True,False,False,False,True,HumanEval/151
True,False,False,False,True,HumanEval/152
False,True,True,True,True,HumanEval/153
True,False,False,False,True,HumanEval/154
True,False,False,False,True,HumanEval/157
True,False,False,False,True,HumanEval/159
True,False,False,False,True,HumanEval/160
